epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,4293.14,0.56905,0.80551,0.87378,0.59701,0.76871,0.70199,0.58739,0.59973,0.89908,0.88616,0.000571106,0.000571106,0.000571106
88,4555.56,0.56417,0.79708,0.87252,0.5963,0.76989,0.70268,0.58822,0.59922,0.89867,0.88579,0.000507115,0.000507115,0.000507115
89,4817.4,0.5594,0.78794,0.87099,0.59641,0.77201,0.70311,0.58879,0.59872,0.8977,0.88536,0.000447606,0.000447606,0.000447606
90,5080.27,0.55506,0.78204,0.86946,0.59903,0.77029,0.70354,0.58931,0.59814,0.89702,0.8851,0.00039264,0.00039264,0.00039264
91,5341.92,0.55193,0.77639,0.86748,0.60047,0.76967,0.70394,0.58972,0.59785,0.89643,0.88494,0.00034227,0.00034227,0.00034227
92,5604.8,0.54974,0.77228,0.86767,0.60048,0.77121,0.70429,0.59022,0.59736,0.89578,0.88477,0.000296546,0.000296546,0.000296546
93,5867.47,0.54672,0.76442,0.86782,0.60165,0.77148,0.70473,0.59066,0.59706,0.89559,0.88477,0.000255513,0.000255513,0.000255513
94,6130.34,0.54416,0.75895,0.86615,0.6046,0.7673,0.70525,0.59105,0.59672,0.8954,0.88457,0.000219212,0.000219212,0.000219212
95,6393.05,0.54097,0.75606,0.86484,0.60492,0.76823,0.7055,0.59142,0.59648,0.89527,0.88452,0.000187678,0.000187678,0.000187678
96,6655.41,0.54143,0.75392,0.86589,0.60458,0.76941,0.70581,0.59169,0.59633,0.89544,0.88447,0.000160943,0.000160943,0.000160943
97,6918.17,0.53875,0.74807,0.86481,0.60241,0.77324,0.70594,0.59177,0.59627,0.8959,0.88447,0.000139032,0.000139032,0.000139032
98,7180.09,0.53864,0.74573,0.86466,0.60419,0.77074,0.70593,0.59201,0.59612,0.89649,0.88442,0.000121968,0.000121968,0.000121968
99,7442.53,0.53707,0.74315,0.86312,0.60526,0.77004,0.70598,0.59207,0.596,0.89706,0.88438,0.000109768,0.000109768,0.000109768
100,7705.89,0.5355,0.74245,0.86216,0.60573,0.76854,0.70591,0.59198,0.59602,0.89768,0.88424,0.000102443,0.000102443,0.000102443
